2,78
-17,3
-14,11
9,26
1,77
4,98
17,03
10,42
0,9
4,37
-2,3
-11,32
1,94
3,27
9,15
-0,03
-1,86
-3,08
-18,87
-6,14
3,37
19,87
-13,9
8,71
-6,24
11,73
-4,57
0,66
14,76
-15,94
-13,51
-7,77
14,69
-15,08
-18,48
1,99
16,08
9,33
-14,83
3,15
-12,74
-11,95
7,03
-8,17
-17,38
18,01
-0,98
2,52
-13,66
-3,94
0,68
-2,98
14,02
18,31
-16,18
-8,05
10,88
-15,94
5,88
6,76
-0,66
16,26
-10,76
16,29
7,75
-2,99
6,34
15,63
-12,94
-19,22
-14,13
-5,47
14,81
-9,61
-11,55
17,21
0,45
5,19
-9,99
17,51
-11,64
-16,4
11,53
-15,7
-3,07
-4
-3,76
3,22
-11,71
-1,27
11,1
-19,98
13,84
15,31
17,79
11,47
9
-14,82
-0,62
-17,03
-18,81
2,42
8,48
4,94
3,01
4,69
6,95
0,74
-16,8
7,64
-12,26
17,71
18,99
-5,76
-5,98
-12,13
-13,46
8,75
12,74
4,81
-0,3
-3,33
7,58
17,12
-5,95
-17,85
14,95
0,03
-16,24
19,22
-4,65
-4,47
-15,65
-9,98
8,55
-3,94
13,34
-12
-18,37
-4,28
-7,32
16,26
9,3
-13,94
15,8
-3,33
-15,61
5,84
6,49
2,35
-2,72
-19,43
-6,34
4,06
-14,04
19,41
-4,45
18,55
-14,98
-19,04
-0,86
15,33
-14,9
11,86
-10,98
-12,53
-10,17
-7,11
7,1
13,83
5,91
-2,62
-2,08
7,04
-1,5
4,57
-1,31
-6,4
14,21
3,48
12,95
11,05
8,34
10,41
-16,31
-17,78
14,08
-3,3
-8,43
-15,17
-10,42
11,23
-16,42
-2,35
8,46
-14,19
-4,42
5,21
14,08
19,64
18,23
8,47
-1,3
6,42
0,13
9,88
-9,66
-0,24
0,43
-17,06
-1,19
17,99
19,1
-15,87
11,17
-8,77
16,64
10,44
-5,66
8,69
11,44
-19,14
-10,38
5,88
13,5
12,69
-10,7
-19,95
-18,67
-15,91
10,8
-11,04
-17,58
-3,08
14,1
-0,5
-5,02
-13,61
7,3
-4,21
6,21
-2,71
8,41
-6,08
5,94
-7,08
-9,25
-7,29
-8,69
-13,84
1,23
-8,33
17,71
-19,12
-19,67
0,47
9,95
19,23
-11,92
9,23
10,06
7,95
-0,98
-18,67
-4,9
9,13
-1,37
-15,41
-10,11
-13,66
6,42
19,41
19,61
-1,21
-13,42
-4,17
-19,14
-11,33
-18,33
-2,86
-4,7
-2,57
-16,2
-8,28
-14,14
-16,19
-14,03
-19,9
-9,67
7,01
15,58
-17,08
6,33
-15,52
-18,31
9,67
-1,57
12,03
-10,93
11,25
-19,91
-2,58
-1,13
16,29
2,12
15,67
-13,26
-18,56
-11,75
-9,87
15,86
-4,61
-18,81
4,25
16,95
19,8
-5,23
-7,9
10,99
17,91
-2,89
7,17
-16,94
-4,99
-15,9
-14,28
2,35
-13,58
8,48
16,75
3,53
17,1
6,78
9,6
19,14
-11,61
15,6
0,53
-4,61
3,34
-10,24
14,04
-19,39
12,32
14,93
-9,96
3,12
-7,13
0,13
-3,49
8,48
12,93
-19,55
-8,13
9,61
12,56
-10,22
-17,42
-15,58
-19,28
11,93
-9,5
-6,49
8,78
-5,44
11,83
-1,52
-1,78
-1,2
8,92
5,15
17,01
14,96
-9,76
-7,4
16,65
-12,28
-12,96
7,44
-18,7
-11,9
19,11
-3,25
4,11
11,76
19,11
13,26
6,93
-1,04
6,11
9,72
19,84
8,08
-10,04
-1,69
-13,92
13,08
-14,18
-18,61
-12,34
-19,76
3,34
9,04
-8,14
9,02
-7,47
-13,84
-14,43
-18,44
1,15
-4,23
1,37
-0,42
-1,98
19,24
1,62
12,71
-14,7
9,99
-14,78
0,9
7,47
8,68
-4,59
10,01
-4,92
12,59
3,72
7,39
5,61
14,1
-9,57
2,16
15,49
1,21
2,27
-18,51
-6,06
16,2
3,8
5,87
11,42
-19,33
19,95
5,53
-7,5
-0,38
16,15
-12,06
8,96
5,02
-13,62
-15,88
7
-2,52
-12,86
-9,87
-17,81
7,05
-17,86
14,38
-16,88
-18,64
-6,5
-4,88
5,75
-17,66
16,3
-11,41
10,75
16,59
-16,4
14,88
-18,84
-3,67
0,01
-6,45
4,41
18,53
-6,49
-10,54
16,72
12,09
13,23
7,16
-6,43
15,66
-18,57
-8,4
15,1
-0,81
16,32
-7,15
-19,21
9,95
-15,57
-0,19
-0,95
-9,83
-15,59
