32	86	55	75	76	81
51	48	63	96	10	47
86	72	95	80	65	17
94	14	2	29	11	82
86	93	43	30	98	53
26	77	52	60	5	31
24	51	16	35	84	8
73	69	2	14	1	79
35	87	1	4	78	14
14	3	32	12	97	77
98	34	11	43	55	22
26	65	41	36	39	76
43	92	67	88	69	79
40	40	33	74	2	51
26	72	34	70	85	41
97	79	6	53	45	21
48	99	5	96	78	87
47	77	74	1	91	47
41	81	2	76	27	100
37	50	84	63	51	85
60	78	71	5	64	73
24	29	72	71	93	88
19	88	47	32	22	12
41	39	98	70	54	83
41	60	12	63	93	11
7	77	61	65	93	46
31	22	3	36	73	15
50	29	94	55	76	48
32	38	58	57	44	94
97	100	95	65	40	12
22	26	79	57	92	28
67	72	49	68	13	60
65	15	79	20	100	77
32	88	15	7	66	29
13	48	15	88	49	13
45	2	79	99	71	25
93	98	69	90	30	87
58	36	74	22	9	65
23	70	96	39	47	12
86	64	5	27	88	80
62	34	2	53	80	96
67	90	2	34	19	40
88	73	12	2	46	12
55	5	77	47	2	75
38	44	68	15	61	85
78	91	19	56	87	20
48	94	19	18	64	63
3	72	49	43	76	91
48	70	73	25	32	8
8	32	100	52	17	57
69	93	75	35	76	70
91	70	8	88	15	13
62	62	62	92	67	89
18	4	89	94	34	88
65	95	6	90	27	39
100	40	40	30	47	21
71	22	71	62	61	18
65	62	6	96	89	20
83	74	96	22	83	83
84	15	24	41	33	39
15	76	21	94	27	70
48	33	48	54	58	17
47	89	5	2	74	44
99	37	2	30	88	43
56	5	95	57	71	72
89	69	87	61	16	5
57	39	37	61	87	64
55	90	25	75	83	74
34	21	61	53	97	69
58	89	92	53	69	66
21	76	14	56	71	69
40	53	93	1	54	48
62	51	6	49	67	33
32	89	9	58	62	60
76	33	65	93	30	68
20	24	22	48	78	71
39	43	98	21	56	36
85	13	14	11	93	41
25	33	94	5	31	29
56	54	22	59	64	95
27	84	9	86	89	40
69	19	71	17	79	30
79	58	99	23	35	71
14	16	19	4	25	42
98	15	60	6	59	47
30	81	64	37	82	12
76	15	50	4	43	10
58	81	91	79	34	35
66	2	58	24	30	7
85	54	96	34	10	52
93	78	67	85	35	6
2	34	93	34	27	97
65	81	49	75	52	60
50	70	2	90	17	12
47	49	12	97	50	2
44	12	77	66	44	93
31	5	15	56	57	58
3	95	41	37	61	41
46	44	19	5	10	13
13	42	84	19	56	55
100	24	3	98	44	96
24	43	99	91	17	31
65	38	42	39	50	63
19	23	39	64	8	82
85	100	80	52	52	12
30	13	58	50	72	37
48	8	72	43	34	76
33	4	86	74	89	25
10	40	54	75	35	87
48	7	88	39	99	47
98	6	89	98	100	92
91	55	27	95	25	16
50	16	35	50	6	5
87	4	94	12	17	41
79	28	80	56	34	67
50	28	27	42	36	87
78	30	91	66	80	86
15	71	96	54	32	32
17	11	4	27	61	84
91	76	73	48	43	30
13	28	69	87	98	26
63	34	79	48	48	59
82	45	37	73	62	54
17	91	26	15	38	37
14	68	42	7	59	67
25	51	72	17	57	2
29	60	95	78	1	17
52	93	7	80	52	65
76	75	20	48	53	55
10	89	95	26	99	59
48	16	86	31	41	4
73	67	32	31	72	48
80	85	87	1	38	84
27	47	17	23	70	60
73	30	22	36	88	94
29	40	12	57	72	90
26	37	58	78	61	43
7	85	70	79	2	52
70	4	84	78	41	31
80	57	71	37	49	72
39	47	13	32	12	49
